,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
ptrs_ancestor_5,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_ancestor_6,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_ancestor_7,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_ancestor_8,0.016055575421452657,0.004354778624868806,0.14783543554309017,-0.030464673964212884,0.9891935737142322,0.09099484796622807,0.9891935737142322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989193573714232,0.8735529666503613,0.2158760615798003,0.203071424047952,0.19762562105182513,0.19122221853682655,0.18201330041621377,0.016819779274254345
ptrs_children_1,0.014485378333877866,0.00394645010968477,0.15489029525009532,-0.0009432523102708094,1.0,0.09746915541757369,1.0,0.989193573714232,0.989193573714232,0.989193573714232,0.989193573714232,0.989193573714232,0.989193573714232,0.989193573714232,1.0,0.8913746671633787,0.21054465079474455,0.20047157586522846,0.19711190161699288,0.19418961639578364,0.18713276195652861,0.01366610101249176
ptrs_children_2,0.0032033951010774406,0.0005871421554110563,0.08287333073528971,-0.03715135416223903,0.8913746671633787,0.03128125724867101,0.8913746671633787,0.8735529666503613,0.8735529666503613,0.8735529666503613,0.8735529666503613,0.8735529666503613,0.8735529666503613,0.8735529666503613,0.8913746671633787,1.0,0.16446674866085725,0.15761900556823158,0.15443950895204442,0.1530449241763716,0.14751754924532673,0.018742943880079726
ptrs_children_3,0.03374251809655024,-0.0007502273559647216,0.03223672465613769,0.00675644501051722,0.21054465079474455,0.020143603596167407,0.21054465079474455,0.2158760615798003,0.2158760615798003,0.2158760615798003,0.2158760615798003,0.2158760615798003,0.2158760615798003,0.2158760615798003,0.21054465079474455,0.16446674866085725,1.0,0.9578222757241444,0.9196656753198863,0.8881459818780203,0.8334263957948287,0.10899872965426671
ptrs_children_4,0.03859070505766162,0.010537292312731242,0.02614579803271942,-0.0018050838883227611,0.20047157586522846,0.014597441803656,0.20047157586522846,0.203071424047952,0.203071424047952,0.203071424047952,0.203071424047952,0.203071424047952,0.203071424047952,0.203071424047952,0.20047157586522846,0.15761900556823158,0.9578222757241444,1.0,0.9540723857813943,0.9171974701477621,0.8544083784759554,0.13406670436892568
ptrs_children_5,0.020464193387727963,-0.0005305482160674373,0.024975617207654906,-0.009328014908862047,0.19711190161699288,0.013614719378992212,0.19711190161699288,0.19762562105182513,0.19762562105182513,0.19762562105182513,0.19762562105182513,0.19762562105182513,0.19762562105182513,0.19762562105182513,0.19711190161699288,0.15443950895204442,0.9196656753198863,0.9540723857813943,1.0,0.9555713621222993,0.8950179947316532,0.16180849078591794
ptrs_children_6,-0.0008555015945748733,-0.00038601367886760443,0.022926858007859794,-0.022383230807833023,0.19418961639578364,0.011723712470299578,0.19418961639578364,0.19122221853682655,0.19122221853682655,0.19122221853682655,0.19122221853682655,0.19122221853682655,0.19122221853682655,0.19122221853682655,0.19418961639578364,0.1530449241763716,0.8881459818780203,0.9171974701477621,0.9555713621222993,1.0,0.9334903868172894,0.1852626274927426
ptrs_children_7,-0.0006499410409975284,-0.00029326202764959764,0.020688180721084866,-0.02877812235173705,0.18713276195652861,0.00988213046907972,0.18713276195652861,0.18201330041621377,0.18201330041621377,0.18201330041621377,0.18201330041621377,0.18201330041621377,0.18201330041621377,0.18201330041621377,0.18713276195652861,0.14751754924532673,0.8334263957948287,0.8544083784759554,0.8950179947316532,0.9334903868172894,1.0,0.29123327718538566
ptrs_children_8,-0.0007589374774714611,-0.00034244266704708883,-0.004125799496664541,-0.0025034388831751938,0.01366610101249176,-0.0049559558164690865,0.01366610101249176,0.016819779274254345,0.016819779274254345,0.016819779274254345,0.016819779274254345,0.016819779274254345,0.016819779274254345,0.016819779274254345,0.01366610101249176,0.018742943880079726,0.10899872965426671,0.13406670436892568,0.16180849078591794,0.1852626274927426,0.29123327718538566,1.0
